product_name,matched_product,carbon_rating
Cappuc,Coffee Cappuccino with Chocolate Powder,4
MUTTI PEELED TOMS,Canned Peeled Tomatoes,1
PLANT MENU TOFU,Tofu,1
NO1 LONGSTOCK MED 6,eggs,5
ASPRGS BNDLE,Asparagus,1
Iberico Dumpling,Raw Pork Loin,5
Cappuccino,Coffee with Milk,1
JS PARSLEY 30G,Fresh Parsley,1
Americano,Coffee,5
WR ESS SPINACH,Raw Spinach,1
SALMON FILLETS,Grilled Salmon,4
BLCKBERRIES,Blackberries,1
Double Espresso,Espresso,1
Virgin Mary,Canned Tomato Pulp,1
"Asparagus with Haye Farm Egg, Bottarga",eggs,5
Spermuta Rossa,Orange Juice,1
Speri Verde,Bresse Blue Cheese,3
PEA & HAM SOUP,Ham Cubes,4
San Pellegrino Limonata,San Pellegrino Sparkling Mineral Water,1
AUBERGINE,Aubergine,3
PETIT POTS,No Sugar Dark Chocolate Bar,5
JS STRAWBERRIES 250G,Fresh Strawberries,1
lesco Finest Raw Jumbo King Prawns 165g,Frozen Raw Prawn,5
Coppa,Coppa Ham,5
Walkers Variety Crisps 6pk,Crisps,2
Tesco Coriander 15g (c),Fresh Coriander,1
CI BASIL POT LARGE,Fresh Basil,1
WR DORG HOUMOUS,Hummus,1
Cherry Dessert,Fruit Dessert,1
*BAHLSN LBZ DRK CHOC,No Sugar Dark Chocolate Bar,5
DIORALYTE BLACKCURRA,Tonic Drink with Sugar,1
TandoorChickenBreast,Roasted Chicken Breast,4
RWSE SQZY HON 340G,Honey,1
PARMA HAM 80G,Parma Ham,5
500ml Kings Aberdeen Angus Steak,Grilled Steak,5
JS 2 SALMON FILLETS,Smoked Salmon,3
Blackened Chicken,Roasted Chicken Breast,4
Persimmon 0080656,Persimmon,1
ELDERFLOWER PRE,Elderberries,1
KIT KAT CHUNKY DUO,Chocolate Crunchy Wafer Biscuit,3
Banana Each (c),Bananas,1
CADBURY PICNIC,Chocolate Dairy Snack Bar,4
HARICOTS VERTS CHAMPIGNONS,French Green Beans,1
CARROT /COR SOUP,Canned Carrot Soup,1
Chicken wings,Roasted Chicken Wings,4
Breakfast Tea,Green Tea,1
MULINO SALTED CRACKE,Cheese Crackers,2
JS RED S/LESS GRAPE,Red Grapes,1
JS COURGETTE,Raw Courgette,1
ICLE CUCUMBER,Raw Cucumber Pulp,3
W/T HAM SL 125G,Cooked Ham,4
SWT GEM LETTUCE,Iceberg Lettuce,1
Yeo Valley Greek Style Natural Yoghurt 450g,Plain Greek Yoghurt,2
JS GREEK FETA,Feta Cheese,3
JS TENDERSTEM BROC,Raw Broccoli,1
Apple Fresh,Canadian Apple,1
WARB CRUMPETS X6,Sweet Biscuits,2
"125ml Barbera d'Alba , Parusso",Marsala Wine,1
Flawsome Orange,Orange,1
katis Spiced Grains,Grilled Husked Sesame Seeds,4
AVOCADO LARGE,Avocado,2
JA PRWN CH,Prawn Crackers,2
Cheeseburger,Cheeseburger,5
LURPAK BTR S/SALTED,Salted Butter,5
"Ribeye, Seasonal Vegetables",Grilled Lean Rib Steak,5
Guinness Pint,Dark Beer,1
Sponge Cake Choco,Chocolate Sponge Cake,5
Long Grain Rice,Basmati Rice,2
Perrier 25cl,Sparkling Bottled Water,1
YOGURT PROTEIN,Frozen Yogurt,2
RED CHERRIES 1KG,Pitted Cherries,1
BERRY BOC,Berries,1
CHOKN CHRZ SOUP,Chorba Frik Soup with Meat,3
Tesco Cheddar Cheese 400g,Cheddar Cheese,4
PERCY PIG 170G,Caramelised Pork,5
Kings Aberdeen Angus Steak Strips 60g,Grilled Hanger Steak Beef,5
Shrimp Parcels,Shrimp Egg Roll,2
Cucumber and Mustard Seed Pickles,Raw Cucumber Pulp and Peel,3
JS CREME FRAICHE,Heavy Cream,3
PORT SALUT,Brie Cheese,3
KSHAW Chicken Shawarma,Poultry Skewer,4
One Water Sportscap 750ml,Sparkling Bottled Water,1
KRONENBOURG,Beer,1
BOLD QUEEN CHICKPEAS,Canned Chickpeas,1
E PEPPER,Chilli Peppers,3
LITTLE GEM LETT,Lamb's Lettuce,1
Tesco Finest Red Grapes Seedless 500g (c),Red Grapes,1
JS S/SKIM MLK 0.568L,Semi-Skimmed Milk,1
WR CI GARLIC,Garlic,1
Aqua Libra Sparkling water,Sparkling Bottled Water,1
Triple Pepperoni,Prepacked Meat Bolognese Pizza,4
COCA COLA,Cola,1
BRD BRST ST X4,Braised Beef Short Ribs,5
Tesco Squeezy Clear Honey 340G, Honey,1
Paxo Sage & Onion Stuffing Mix 170G, Self-Raising Wheat Flour, 1
"Scampi, coated in breadcrumbs, fried in sunflower oil", Fried Fish Nuggets, 4
"Lamb, stewing, pressure cooked, lean and fat", Braised Lamb Leg, 5
"Prune juice", Mixed Fruit Juice, 1
"Pie, apple, wholemeal, one crust, homemade", Fruit Pie with Custard, 2
"Spring greens, boiled in unsalted water", Green Salad, 1
"Casserole, sweet potato and green banana, homemade", Mashed Potato with Tomato and Cheese, 3
