name,clean name,carbon_rating,co2e,lca_farm,lca_processing,lca_packaging,lca_transport,lca_retail,lca_food_waste,source
"Abondance cheese, from cow's milk",Abondance Cow Milk Cheese,4,6.263162655,5.3279117,0.36960883,0.26662691,0.26516523,0.029050683,0.004799302,agribalyse
"Apricot, canned in light syrup, drained",Canned Apricot in Light Syrup,1,1.221121284,0.18831471,0.16613707,0.35015645,0.22533617,0.051200154,0.23997673,agribalyse
"Apricot, canned in light syrup, not drained",Canned Apricot in Light Syrup,1,0.612234206,0.11750838,0.10366953,0.21849763,0.14060977,0.031948896,0,agribalyse
"Apricot, in syrup, canned, drained",Canned Apricot in Syrup,1,1.221121284,0.18831471,0.16613707,0.35015645,0.22533617,0.051200154,0.23997673,agribalyse
"Apricot, in syrup, canned, not drained",Canned Apricot in Syrup,1,0.612234206,0.11750838,0.10366953,0.21849763,0.14060977,0.031948896,0,agribalyse
"Apricot, pitted, raw",Raw Pitted Apricot,1,0.861729694,0.18771307,0,0.35727452,0.17724117,0.03993612,0.099564814,agribalyse
"Apricot, pitted, dried",Dried Pitted Apricot,2,2.653634383,1.1168928,0.80366333,0.28581962,0.40126279,0.045995843,0,agribalyse
"Caribbean-style fish fritters, fish acras",Caribbean Fish Fritters,3,5.254240463,4.1345091,0.14559647,0.29058882,0.58629458,0.030685111,0.066566382,agribalyse
"Seaweed, agar, raw",Agar Seaweed,4,6.547800933,4.9316244,1.0677105,0.2946594,0.21146804,0.030021296,0.012317297,agribalyse
"Lamb, neck, braised or boiled",Braised Lamb Neck,5,62.80283404,61.710579,0.079547374,0.45547623,0.31425045,0.047859533,0.19512145,agribalyse
"Lamb, neck, raw",Lamb Neck,5,49.66612006,48.850381,0.06297007,0.3605571,0.24876212,0.037885829,0.10556394,agribalyse
"Lamb, chop fillet, raw",Lamb Chop Fillet,5,49.66612006,48.850381,0.06297007,0.3605571,0.24876212,0.037885829,0.10556394,agribalyse
"Lamb, chop fillet, grilled/pan-fried",Grilled Lamb Chop Fillet,5,62.84005122,61.731165,0.083719403,0.45547623,0.31588519,0.047859533,0.20594586,agribalyse
"Lamb, rib chop, raw",Lamb Rib Chop,5,49.66612006,48.850381,0.06297007,0.3605571,0.24876212,0.037885829,0.10556394,agribalyse
"Lamb, rib chop, grilled/pan-fried",Grilled Lamb Rib Chop,5,62.84005122,61.731165,0.083719403,0.45547623,0.31588519,0.047859533,0.20594586,agribalyse
"Lamb, cutlet, raw",Raw Lamb Cutlet,5,39.65324439,39.080305,0.050376056,0.28844568,0.19900969,0.030308663,0.004799302,agribalyse
"Lamb cutlet, grilled",Grilled Lamb Cutlet,5,50.19121688,49.389049,0.067809928,0.36438098,0.2530351,0.038287627,0.07865424,agribalyse
"Lamb, shoulder, raw",Lamb Shoulder,5,39.65324439,39.080305,0.050376056,0.28844568,0.19900969,0.030308663,0.004799302,agribalyse
"Lamb, shoulder, lean, raw",Lamb Shoulder,5,39.65324439,39.080305,0.050376056,0.28844568,0.19900969,0.030308663,0.004799302,agribalyse
"Lamb, shoulder, lean, roasted/baked",Roasted Lamb Shoulder,5,50.1539997,49.368463,0.063637899,0.36438098,0.25140036,0.038287627,0.067829831,agribalyse
"Lamb, shoulder, roasted/baked",Roasted Lamb Shoulder,5,50.1539997,49.368463,0.063637899,0.36438098,0.25140036,0.038287627,0.067829831,agribalyse
"Lamb, leg, braised",Braised Lamb Leg,5,62.80283404,61.710579,0.079547374,0.45547623,0.31425045,0.047859533,0.19512145,agribalyse
"Lamb, leg, raw",Lamb Leg,5,49.66612006,48.850381,0.06297007,0.3605571,0.24876212,0.037885829,0.10556394,agribalyse
"Lamb, leg, grilled/pan-fried",Grilled Lamb Leg,5,62.84005122,61.731165,0.083719403,0.45547623,0.31588519,0.047859533,0.20594586,agribalyse
"Lamb, leg, roasted/baked",Roasted Leg of Lamb,5,62.80283404,61.710579,0.079547374,0.45547623,0.31425045,0.047859533,0.19512145,agribalyse
"Lamb, saddle, raw",Lamb Saddle,5,49.66612006,48.850381,0.06297007,0.3605571,0.24876212,0.037885829,0.10556394,agribalyse
"Lamb, saddle, grilled/pan-fried",Grilled Lamb Saddle,5,62.84005122,61.731165,0.083719403,0.45547623,0.31588519,0.047859533,0.20594586,agribalyse
"Lamb, saddle, lean, roasted/baked",Roasted Lean Saddle Lamb,5,62.80283404,61.710579,0.079547374,0.45547623,0.31425045,0.047859533,0.19512145,agribalyse
"Garlic, powder, dried",Dried Garlic Powder,1,0.820997979,0.054491408,0,0.49690685,0.19104567,0.078554051,0,agribalyse
"Garlic, fresh",Fresh Garlic,1,0.374743327,0.06811426,0,0,0.17538905,0.031675203,0.099564814,agribalyse
Pure alcohol,Alcohol,1,1.156598473,0,0.4658128,0.49690685,0.17690961,0.012169911,0.004799302,agribalyse
Mashed potatoes w fresh tome cheese,Mashed Potato with Tomato and Cheese,3,4.055312188,3.2754946,0.300157,0.21221738,0.22403202,0.030685111,0.012726077,agribalyse
"Almond, (with peel)",Almond Peel,4,5.760447657,5.0476035,0.068974455,0.26940995,0.33796675,0.036493002,0,agribalyse
"Almond, grilled, salted",Salted Almonds,4,5.760447657,5.0476035,0.068974455,0.26940995,0.33796675,0.036493002,0,agribalyse
"Almond, peeled, unpeeled or blanched",Almonds,4,5.760447657,5.0476035,0.068974455,0.26940995,0.33796675,0.036493002,0,agribalyse
"Amaranth, raw",Amaranth,1,0.871942319,0.44004837,0,0.26940995,0.13232457,0.030159429,0,agribalyse
Maize/corn starch,Corn Flour,1,1.224167403,0.49322862,0.4169701,0.099788277,0.19255696,0.021623446,0,agribalyse
"Pineapple, in pineapple juice and syrup, canned, drained",Canned Pineapple,1,1.524681854,0.22811155,0.22264675,0.35015645,0.43259022,0.051200154,0.23997673,agribalyse
"Pineapple, in pineapple juice and syrup, canned, not drained",Canned Pineapple in Juice,1,0.801656006,0.14234161,0.13893157,0.21849763,0.2699363,0.031948896,0,agribalyse
"Pineapple, in light syrup, canned, drained",Canned Pineapple in Light Syrup,1,1.524681854,0.22811155,0.22264675,0.35015645,0.43259022,0.051200154,0.23997673,agribalyse
"Pineapple, in light syrup, canned, not drained",Canned Pineapple in Light Syrup,1,0.801656006,0.14234161,0.13893157,0.21849763,0.2699363,0.031948896,0,agribalyse
"Pineapple, pulp, raw",Pineapple,1,1.145979152,0.22738276,0,0,0.45643934,0.063897792,0.39825926,agribalyse
"Anchovy, in salt (semi-preserved)",Salted Anchovy,2,2.158557095,0.93748919,0,0.28844568,0.89751426,0.030308663,0.004799302,agribalyse
"Common anchovy, raw",Raw Anchovy,2,2.158557095,0.93748919,0,0.28844568,0.89751426,0.030308663,0.004799302,agribalyse
"Common anchovy, marinated",Marinated Anchovy,2,2.024504053,0.94575132,0.20817419,0.29054328,0.54455085,0.030685111,0.004799302,agribalyse
"Anchovy, fillets, in oil, semi-preserved, drained",Semi-Preserved Anchovy Fillets,2,1.970646543,0.90872572,0.20539306,0.29054328,0.53050007,0.030685111,0.004799302,agribalyse
"Anchovy, fillets, rolled with capers, semi-preserved, drained",Rolled Anchovy with Caper Filling,2,1.970646543,0.90872572,0.20539306,0.29054328,0.53050007,0.030685111,0.004799302,agribalyse
Chitterling sausage,Chitterling Sausage,5,16.05870537,13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.066566382,agribalyse
Chitterling sausage from Guéméné,Guemene Chitterling Sausage,5,16.05870537,13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.066566382,agribalyse
Chitterling sausage from Vire,Vire Chitterling Sausage,5,16.05870537,13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.066566382,agribalyse
"Chitterling sausage, pan-reheated",Reheated Chitterling Sausage,5,16.05870537,13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.066566382,agribalyse
"Chitterling sausage from Troyes, raw",Troyes Chitterling Sausage,5,15.99693829,13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.004799302,agribalyse
"Chitterling sausage, raw",Raw Chitterling Sausage,5,15.99693829,13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.004799302,agribalyse
"Chitterling sausage, sautéed/pan-fried",Pan-Fried Chitterling Sausage,5,16.05870537,13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.066566382,agribalyse
"Dill, fresh",Fresh Dill,1,0.953486047,0.32375374,0,0.33443152,0.16406077,0.031675203,0.099564814,agribalyse
"Sea lettuce (Enteromorpha sp.), dried or dehydrated",Sea Lettuce,4,6.547800933,4.9316244,1.0677105,0.2946594,0.21146804,0.030021296,0.012317297,agribalyse
Wine-based aperitif,Wine Aperitif,1,1.050546589,0.24370999,0.10332162,0.49690685,0.18944429,0.012364537,0.004799302,agribalyse
"Peanut, boiled/cooked in water, w salt",Salted Peanuts,5,9.758732361,8.291153,0.13794891,0.53881991,0.32061107,0.064013441,0.40618603,agribalyse
"Artichoke, canned, drained",Canned Artichoke,3,3.275980716,1.7590306,0.49923726,0.35015645,0.36559225,0.061987426,0.23997673,agribalyse
"Artichoke, heart, canned, drained",Canned Artichoke Hearts,3,3.275980716,1.7590306,0.49923726,0.35015645,0.36559225,0.061987426,0.23997673,agribalyse
"Artichoke, globe, raw",Artichoke,3,3.96973698,1.5015528,0,0,0.68174641,0.19340077,1.593037,agribalyse
"Artichoke, globe, cooked",Cooked Artichoke,2,3.01100202,1.9982384,0,0.3212752,0.34228159,0.12342441,0.22578242,agribalyse
"Artichoke base, canned, drained",Canned Artichoke Base,1,1.374048816,0.35180613,0.14730051,0.35015645,0.22282157,0.061987426,0.23997673,agribalyse
